Indicator_ID_legacy,MET_ID,Level,Risk concept,System,Factor,Sub-Factor,Indicator,Preference,Type,Metric,Usual data sources,MSNA module,MSNA indicator,Question KOBO Code,Remarks/Limitations,Acute needs threshold (4),Very acute needs threshold (5),Above or below,Evidence threshold,Factor threshold
IND001,MET001,Mortality outcome,,Mortality,Mortality,Mortality,Crude mortality rate,1,num[0+],"Deaths per 10,000 per day",MSNA,Mortality,"# of deaths per 10,000 people per day and / or # of under-5 year old deaths per 10,000 under-5 children per day",num_died,Need denominator,1,2,Above,1,1
IND002,MET002,Mortality outcome,,Mortality,Mortality,Mortality,U5 mortality rate,1,num[0+],"Deaths of under fives per 10,000 per day",MSNA,Mortality,"# of deaths per 10,000 people per day and / or # of under-5 year old deaths per 10,000 under-5 children per day",num_died,Need denominator,2,4,Above,1,1
IND003,MET003,Health outcomes,Vulnerability,Health outcomes,Nutrition status,Acute Malnutrition,Incidence of acute malnutrition,1,num[0:1],% of children 6-59 months GAM by WHZ,,,,,,0.15,0.3,Above,1,1
IND004,MET004,Health outcomes,Vulnerability,Health outcomes,Nutrition status,Acute Malnutrition,Incidence of acute malnutrition,1,num[0:1],% of children 6-59 months GAM by MUAC,,,,muac_cm,,0.1,0.15,Above,1,1
IND005,MET005,Health outcomes,Vulnerability,Health outcomes,Nutrition status,Acute Malnutrition,Incidence of acute malnutrition,1,num[0:1],% of children 6-59 months combined GAM,,,,,,0.15,0.3,Above,1,1
IND006,MET006,Health outcomes,Vulnerability,Health outcomes,Nutrition status,Acute Malnutrition,Change in acute malnutrition cases,2,num,% change of monthly new SAM admissions at Stabilization Center or OTP programs,,,,,,0.3,0.45,Above,1,1
IND007,MET007,Health outcomes,Vulnerability,Health outcomes,Nutrition status,Acute Malnutrition,Change in acute malnutrition cases,2,num,% change of monthly defaulters to SC or OTP programs,,,,,,0.45,0.7,Above,1,1
IND008,MET008,Health outcomes,Vulnerability,Health outcomes,Nutrition status,Acute Malnutrition,Change in acute malnutrition cases,2,num,% change of monthly deaths reported in Stabilization Centers or OTP,,,,,,0.3,0.5,Above,1,1
IND009,MET009,Health outcomes,Vulnerability,Health outcomes,Nutrition status,Acute Malnutrition,Trends of acute malnutriiton in the last 3 months.,3,int[0:1],Qualitative reports of doubled incidence of acute malnutrition in locality/cathcment area in last 3m.,,,,,,1,,Above,,
IND010,MET010,Health outcomes,Vulnerability,Health outcomes,Nutrition status,Acute Malnutrition,Stock-outs of RUTF/ RUSF nutrition supplements/products in the last 3 months,3,num[0:1],Qualitative reports of stock-outs of RUTF/ RUSF nutrition supplements/products in the last 3 months (% stock-out),,,,,,0.5,0.7,Above,,
IND011,MET011,Health outcomes,Vulnerability,Health outcomes,Nutrition status,Acute Malnutrition,"Number of community outreach activities, refferals and community screening of malnutrition by community health workers in catchment area in last 1 month.",3,int[0:1],"Qualitative reports of number of community outreach, referrals and community screenings of malnutrition in last 1 month",,,,,,1,,Below,,
IND012,MET012,Health outcomes,Vulnerability,Health outcomes,Health status,Common childhood illnesses,Incidence of common childhood illnesses and symptoms per epiweek,1,num[0+],"# of cases (all-causes) of common childhood illness in children under-5 years of age per 1000, per epiweek",,,,,,200,300,Above,1,1
IND013,MET013,Health outcomes,Vulnerability,Health outcomes,Health status,Common childhood illnesses,Incidence of common childhood illnesses and symptoms per epiweek,1,num[0+],"# of cases of acute respiratory illness in children under-5 years of age per 1000, per epiweek",,,,,,100,140,Above,1,1
IND014,MET014,Health outcomes,Vulnerability,Health outcomes,Health status,Common childhood illnesses,Incidence of common childhood illnesses and symptoms per epiweek,1,num[0+],"# of cases of acute watery diarrhoea in children under-5 years of age per 1000, per epiweek",,,,,,50,100,Above,1,1
IND015,MET015,Health outcomes,Vulnerability,Health outcomes,Health status,Common childhood illnesses,Two-week prevalence of childhood illness,2,num[0:1],% of children under-5 years with any illness in the two weeks prior to data collection,MSNA,Nutrition - core individual,% of children under-5 years of age sick in the last two weeks as reported by primary caregiver,nut_ind_under5_sick_yn,,0.4,0.5,Above,1,1
IND016,MET016,Health outcomes,Vulnerability,Health outcomes,Health status,Common childhood illnesses,Two-week prevalence of childhood illness,2,num[0:1],% of children under-5 years with any acute respiratory infection in the two weeks prior to data collection,MSNA,Nutrition - core individual,"% of children under-5 years of age sick in the last two weeks as reported by primary caregiver, by symptom",nut_under5_sick_symptoms,Not confirmed but can obtain symptomology,0.3,0.4,Above,1,1
IND017,MET017,Health outcomes,Vulnerability,Health outcomes,Health status,Common childhood illnesses,Two-week prevalence of childhood illness,2,num[0:1],% of children under-5 years with any acute watery diarrhoea in the two weeks prior to data collection,MSNA,Nutrition - core individual,"% of children under-5 years of age sick in the last two weeks as reported by primary caregiver, by symptom",nut_under5_sick_symptoms,Not confirmed but can obtain symptomology,0.2,0.3,Above,1,1
IND018,MET018,Health outcomes,Vulnerability,Health outcomes,Health status,Infectious disease outbreaks,Evidence of measles outbreaks,1,num[0+],"# of confirmed or suspected cases of measles in children 6 months to 15 years of age (or context specific age groups), where at least one is confirmed",,,,,,10,,Above,1,1
IND019,MET019,Health outcomes,Vulnerability,Health outcomes,Health status,Infectious disease outbreaks,Evidence of measles outbreaks,1,num[0+],"# of cases of measles in children 6 months to 15 years of age per 1000 children, per epiweek",,,,,,1,2,Above,1,1
IND020,MET020,Health outcomes,Vulnerability,Health outcomes,Health status,Infectious disease outbreaks,"Reports of measles outbreaks from disease surveillance systems, rapid assessments, or other secondary sources",2,int[0:1],"Confirmed outbreak, not controlled (cases increasing weekly, see epidemic curve)",,,,,,1,,Above,1,1
IND021,MET021,Health outcomes,Vulnerability,Health outcomes,Health status,Infectious disease outbreaks,Evidence of cholera outbreaks,1,int[0+],# of cases of cholera/suspect cholera in populations where at least one case is confirmed,,,,,,10,,Above,1,1
IND022,MET022,Health outcomes,Vulnerability,Health outcomes,Health status,Infectious disease outbreaks,Evidence of cholera outbreaks,1,num[0+],# of cases of cholera/suspect cholera per 1000 people per week (all ages),,,,,,0.5,1,Above,1,1
IND023,MET023,Health outcomes,Vulnerability,Health outcomes,Health status,Infectious disease outbreaks,"Reports of cholera outbreaks from disease surveillance systems, rapid assessments, or other secondary sources",2,int[0:1],"Confirmed outbreak, not controlled (cases increasing weekly, see epidemic curve)",,,,,,1,,Above,1,1
IND026,MET024,Health outcomes,Vulnerability,Health outcomes,Health status,Infectious disease outbreaks,Reports of possible spikes in infectious diseases e.g. from expert health KII,3,int[0:1],"Reports of large increases in malaria, diarrhoeal disease, respiratory infectionsor other infectious disease not attributable to pre-crisis conditions or seasonality",,,,,,1,,Above,,
IND027,MET025,Health outcomes,Vulnerability,Health outcomes,Health status,Infectious disease outbreaks,Reports of suspected measles outbreak e.g. from expert health KII,3,int[0:1],Qualitative reports of children with cough + neck rashes + fevers as suspect measles cases,,,,,,1,,Above,,
IND028,MET026,Health outcomes,Vulnerability,Health outcomes,Health status,Infectious disease outbreaks,Reports of suspected cholera outbreak e.g. from expert health KII,3,int[0:1],Qualitative reports of adults with serious cases of acute watery diarrhoea,,,,,,1,,Above,,
IND029,MET027,Health outcomes,Vulnerability,Health outcomes,Health status,Infectious disease outbreaks,Reports of increasing health needs e.g. from expert health KII,3,int[0:1],"Qualitative reports of an increase in health needs in the community (e.g. overcrowded health facilities, community events or normal activities of the community disrupted due to illnesses, increased number of deaths in the community, etc.)",,,,,,1,,Above,,
IND024,MET028,Health outcomes,Vulnerability,Health outcomes,Health status,Population health needs,Overall infectious disease incidence (all cause and all age),1,num[0+],# of consulations/treatments for infectious diseases per 1000 people per epiweek,,,,,,150,200,Above,1,1
IND025,MET029,Health outcomes,Vulnerability,Health outcomes,Health status,Population health needs,Any health needs in past three months,2,num[0:1],% of individuals with any health needs in the past 3 months,MSNA,Forgone care - Core,% of individuals with a healthcare need,health_ind_healthcare_needed,,0.3,0.4,Above,1,1
